team,matches,wins,win_rate
South Korea,1000,535,0.535
Mexico,956,483,0.5052301255230126
Brazil,951,615,0.6466876971608833
Thailand,863,339,0.3928157589803013
Malaysia,835,327,0.3916167664670659
Germany,835,496,0.5940119760479042
England,826,464,0.5617433414043583
Sweden,825,400,0.48484848484848486
Argentina,815,442,0.5423312883435583
Poland,785,348,0.44331210191082804
Zambia,783,354,0.4521072796934866
Japan,759,376,0.49538866930171277
United States,751,338,0.45006657789613846
France,747,410,0.5488621151271754
Uruguay,741,318,0.4291497975708502
Chile,739,290,0.39242219215155616
Saudi Arabia,736,350,0.47554347826086957
Hungary,731,333,0.45554035567715456
Russia,729,377,0.5171467764060357
Egypt,722,363,0.502770083102493
Italy,720,381,0.5291666666666667
Denmark,719,322,0.4478442280945758
Indonesia,716,277,0.38687150837988826
Netherlands,705,372,0.5276595744680851
Norway,702,275,0.39173789173789175
Spain,701,415,0.5920114122681883
Singapore,694,218,0.31412103746397696
Kuwait,683,285,0.4172767203513909
Paraguay,679,236,0.3475699558173785
Kenya,675,258,0.38222222222222224
China PR,669,317,0.47384155455904337
Finland,668,181,0.27095808383233533
Tunisia,668,293,0.43862275449101795
Costa Rica,667,281,0.42128935532233885
Ghana,665,311,0.46766917293233085
Switzerland,663,250,0.3770739064856712
Trinidad and Tobago,660,279,0.42272727272727273
Peru,659,210,0.3186646433990895
Bulgaria,659,240,0.36418816388467373
Romania,655,293,0.44732824427480916
Uganda,654,266,0.40672782874617736
Iraq,651,302,0.46390168970814133
Belgium,649,314,0.48382126348228044
Nigeria,644,302,0.468944099378882
Malawi,639,218,0.3411580594679186
Austria,637,260,0.40816326530612246
Scotland,634,269,0.4242902208201893
Qatar,633,260,0.4107424960505529
Portugal,631,326,0.5166402535657686
Ivory Coast,626,318,0.5079872204472844
Senegal,625,289,0.4624
Jamaica,615,236,0.383739837398374
United Arab Emirates,612,246,0.4019607843137255
Turkey,606,242,0.39933993399339934
Cameroon,606,266,0.4389438943894389
Algeria,605,279,0.46115702479338844
Iran,605,345,0.5702479338842975
Morocco,603,296,0.49087893864013266
Colombia,599,246,0.41068447412353926
Greece,593,233,0.39291736930860033
Honduras,591,237,0.4010152284263959
Tanzania,584,158,0.2705479452054795
Bahrain,583,207,0.35506003430531735
Republic of Ireland,581,224,0.3855421686746988
Mali,560,230,0.4107142857142857
El Salvador,554,177,0.3194945848375451
Ecuador,548,178,0.3248175182481752
Australia,545,276,0.5064220183486239
Oman,542,206,0.3800738007380074
Wales,538,184,0.3420074349442379
Guinea,534,199,0.37265917602996257
Northern Ireland,532,155,0.29135338345864664
India,523,188,0.35946462715105165
Iceland,513,158,0.3079922027290448
DR Congo,513,202,0.3937621832358674
Myanmar,510,209,0.40980392156862744
Guatemala,504,184,0.36507936507936506
Panama,488,162,0.3319672131147541
Bolivia,487,110,0.22587268993839835
Israel,487,178,0.3655030800821355
Zimbabwe,484,187,0.38636363636363635
Syria,481,173,0.3596673596673597
Jordan,477,178,0.3731656184486373
Haiti,464,200,0.43103448275862066
Sudan,463,150,0.32397408207343414
South Africa,458,202,0.4410480349344978
Malta,456,64,0.14035087719298245
Burkina Faso,454,161,0.35462555066079293
Canada,445,172,0.3865168539325843
Hong Kong,444,141,0.31756756756756754
Togo,441,138,0.3129251700680272
Venezuela,437,110,0.2517162471395881
Luxembourg,431,44,0.10208816705336426
Estonia,428,104,0.24299065420560748
Cyprus,421,80,0.19002375296912113
Angola,408,140,0.3431372549019608
Congo,404,134,0.3316831683168317
Ethiopia,402,139,0.34577114427860695
Gabon,398,140,0.35175879396984927
North Korea,389,161,0.4138817480719794
New Zealand,388,166,0.42783505154639173
Libya,380,142,0.3736842105263158
Albania,379,106,0.2796833773087071
Croatia,376,200,0.5319148936170213
Mozambique,368,116,0.31521739130434784
Czech Republic,356,189,0.5308988764044944
Yugoslavia,356,171,0.4803370786516854
Lithuania,353,90,0.254957507082153
Cuba,353,122,0.34560906515580736
Czechoslovakia,352,153,0.4346590909090909
Latvia,352,88,0.25
Uzbekistan,349,168,0.4813753581661891
Slovakia,349,144,0.41260744985673353
Serbia,342,154,0.4502923976608187
Suriname,339,147,0.4336283185840708
Ukraine,333,149,0.44744744744744747
Lebanon,332,93,0.28012048192771083
Botswana,325,89,0.27384615384615385
Mauritius,319,85,0.2664576802507837
Benin,315,81,0.2571428571428571
Martinique,315,137,0.43492063492063493
Philippines,314,82,0.2611464968152866
Slovenia,312,113,0.36217948717948717
Madagascar,309,114,0.36893203883495146
Belarus,308,90,0.2922077922077922
Azerbaijan,306,59,0.19281045751633988
Georgia,303,98,0.3234323432343234
Bangladesh,303,79,0.2607260726072607
North Macedonia,302,95,0.31456953642384106
Curaçao,299,98,0.3277591973244147
German DR,298,140,0.4697986577181208
Liberia,296,76,0.25675675675675674
Sierra Leone,295,90,0.3050847457627119
Moldova,295,58,0.19661016949152543
Vietnam,295,127,0.43050847457627117
Cambodia,293,63,0.2150170648464164
Lesotho,293,52,0.17747440273037543
Faroe Islands,284,55,0.1936619718309859
Bosnia and Herzegovina,279,104,0.3727598566308244
Namibia,275,69,0.2509090909090909
Rwanda,275,85,0.3090909090909091
Eswatini,272,55,0.20220588235294118
Barbados,270,89,0.3296296296296296
Armenia,269,65,0.241635687732342
Nepal,268,63,0.23507462686567165
Fiji,267,116,0.4344569288389513
Yemen,266,53,0.19924812030075187
Mauritania,266,50,0.18796992481203006
Guadeloupe,265,112,0.4226415094339623
Kazakhstan,265,69,0.26037735849056604
New Caledonia,264,136,0.5151515151515151
Gambia,262,72,0.2748091603053435
Guyana,258,84,0.32558139534883723
Liechtenstein,255,18,0.07058823529411765
Niger,254,59,0.23228346456692914
Grenada,252,82,0.3253968253968254
Sri Lanka,248,49,0.1975806451612903
Pakistan,244,50,0.20491803278688525
Tahiti,242,131,0.5413223140495868
Palestine,241,69,0.2863070539419087
Taiwan,235,64,0.2723404255319149
Saint Vincent and the Grenadines,232,86,0.3706896551724138
Maldives,231,63,0.2727272727272727
Cape Verde,229,88,0.38427947598253276
Antigua and Barbuda,229,71,0.31004366812227074
Saint Lucia,224,78,0.3482142857142857
Andorra,224,13,0.05803571428571429
Laos,224,42,0.1875
San Marino,221,3,0.013574660633484163
Saint Kitts and Nevis,220,89,0.40454545454545454
Burundi,215,65,0.3023255813953488
Vanuatu,213,68,0.3192488262910798
Solomon Islands,212,90,0.42452830188679247
Zanzibar,206,44,0.21359223300970873
Dominica,204,47,0.23039215686274508
Tajikistan,199,77,0.3869346733668342
Nicaragua,195,48,0.24615384615384617
Vietnam Republic,195,82,0.4205128205128205
Bermuda,188,65,0.34574468085106386
Kyrgyzstan,187,57,0.3048128342245989
Guinea-Bissau,186,52,0.27956989247311825
Jersey,185,127,0.6864864864864865
Seychelles,176,26,0.14772727272727273
Guernsey,176,100,0.5681818181818182
Turkmenistan,174,63,0.3620689655172414
French Guiana,172,53,0.3081395348837209
Equatorial Guinea,171,50,0.29239766081871343
Montenegro,165,56,0.3393939393939394
Gibraltar,157,37,0.2356687898089172
Papua New Guinea,155,52,0.33548387096774196
Dominican Republic,153,60,0.39215686274509803
Puerto Rico,145,38,0.2620689655172414
Comoros,143,33,0.23076923076923078
Afghanistan,143,35,0.24475524475524477
Macau,142,21,0.14788732394366197
Brunei,137,22,0.16058394160583941
Chad,136,26,0.19117647058823528
Central African Republic,134,29,0.21641791044776118
Somalia,124,11,0.08870967741935484
Réunion,118,53,0.4491525423728814
Guam,117,24,0.20512820512820512
British Virgin Islands,117,20,0.17094017094017094
Belize,117,31,0.26495726495726496
Cayman Islands,114,24,0.21052631578947367
