date,team,opponent,points_for,points_against,is_home,win
2003-10-08,1610612737,1610612739,80.0,83.0,1,0
2003-10-29,1610612737,1610612740,83.0,88.0,0,0
2003-10-31,1610612737,1610612741,94.0,100.0,0,0
2003-11-01,1610612737,1610612754,99.0,103.0,1,0
2003-11-03,1610612737,1610612740,90.0,80.0,1,1
2003-11-05,1610612737,1610612744,72.0,99.0,0,0
2003-11-08,1610612737,1610612757,83.0,90.0,0,0
2003-11-09,1610612737,1610612760,91.0,81.0,0,1
2003-11-11,1610612737,1610612746,103.0,115.0,0,0
2003-11-12,1610612737,1610612756,99.0,94.0,0,1
2003-11-15,1610612737,1610612751,85.0,100.0,1,0
2003-11-17,1610612737,1610612764,97.0,106.0,1,0
2003-11-18,1610612737,1610612749,101.0,93.0,0,1
2003-11-21,1610612737,1610612759,75.0,114.0,0,0
2003-11-22,1610612737,1610612739,92.0,83.0,1,1
2003-11-24,1610612737,1610612765,89.0,94.0,1,0
2003-11-26,1610612737,1610612761,97.0,99.0,1,0
2003-11-28,1610612737,1610612748,95.0,83.0,1,1
2003-11-29,1610612737,1610612755,86.0,98.0,0,0
2003-12-02,1610612737,1610612749,94.0,106.0,1,0
2003-12-05,1610612737,1610612761,87.0,92.0,0,0
2003-12-06,1610612737,1610612739,85.0,95.0,0,0
2003-12-09,1610612737,1610612743,112.0,98.0,1,1
2003-12-10,1610612737,1610612763,90.0,103.0,0,0
2003-12-12,1610612737,1610612754,92.0,103.0,0,0
2003-12-13,1610612737,1610612753,102.0,105.0,1,0
2003-12-16,1610612737,1610612748,79.0,97.0,0,0
2003-12-17,1610612737,1610612744,85.0,98.0,1,0
2003-12-19,1610612737,1610612758,86.0,98.0,1,0
2003-12-20,1610612737,1610612752,92.0,103.0,0,0
2003-12-23,1610612737,1610612738,93.0,88.0,1,1
2003-12-26,1610612737,1610612740,79.0,109.0,0,0
2003-12-27,1610612737,1610612765,84.0,87.0,1,0
2003-12-30,1610612737,1610612764,83.0,73.0,0,1
2004-01-02,1610612737,1610612750,75.0,93.0,0,0
2004-01-03,1610612737,1610612743,84.0,76.0,0,1
2004-01-06,1610612737,1610612758,89.0,105.0,0,0
2004-01-09,1610612737,1610612747,67.0,113.0,0,0
2004-01-10,1610612737,1610612762,71.0,92.0,0,0
2004-01-13,1610612737,1610612759,86.0,77.0,1,1
2004-01-14,1610612737,1610612754,78.0,85.0,0,0
2004-01-17,1610612737,1610612761,75.0,70.0,1,1
2004-01-19,1610612737,1610612754,97.0,100.0,1,0
2004-01-21,1610612737,1610612741,97.0,87.0,1,1
2004-01-23,1610612737,1610612752,94.0,96.0,1,0
2004-01-25,1610612737,1610612765,91.0,82.0,0,1
2004-01-27,1610612737,1610612756,85.0,89.0,1,0
2004-01-29,1610612737,1610612757,85.0,93.0,1,0
2004-01-31,1610612737,1610612749,93.0,83.0,1,1
2004-02-02,1610612737,1610612746,95.0,101.0,1,0
2004-02-04,1610612737,1610612750,97.0,89.0,1,1
2004-02-06,1610612737,1610612738,100.0,96.0,0,1
2004-02-07,1610612737,1610612745,77.0,86.0,1,0
2004-02-09,1610612737,1610612742,102.0,96.0,1,1
2004-02-18,1610612737,1610612751,92.0,98.0,0,0
2004-02-20,1610612737,1610612748,92.0,125.0,0,0
2004-02-22,1610612737,1610612745,121.0,123.0,0,0
2004-02-24,1610612737,1610612755,86.0,75.0,1,1
2004-02-27,1610612737,1610612765,83.0,105.0,0,0
2004-02-28,1610612737,1610612753,99.0,104.0,1,0
2004-03-02,1610612737,1610612747,94.0,93.0,1,1
2004-03-03,1610612737,1610612739,80.0,112.0,0,0
2004-03-05,1610612737,1610612753,96.0,101.0,0,0
2004-03-08,1610612737,1610612739,102.0,108.0,1,0
2004-03-10,1610612737,1610612749,80.0,94.0,0,0
2004-03-12,1610612737,1610612764,138.0,124.0,1,1
2004-03-14,1610612737,1610612761,84.0,101.0,0,0
2004-03-16,1610612737,1610612760,110.0,118.0,1,0
2004-03-17,1610612737,1610612742,111.0,110.0,0,1
2004-03-19,1610612737,1610612764,84.0,94.0,0,0
2004-03-20,1610612737,1610612762,81.0,87.0,1,0
2004-03-22,1610612737,1610612752,84.0,96.0,0,0
2004-03-25,1610612737,1610612740,84.0,76.0,1,1
2004-03-27,1610612737,1610612741,97.0,88.0,1,1
2004-03-29,1610612737,1610612763,133.0,136.0,1,0
2004-03-31,1610612737,1610612748,97.0,100.0,1,0
2004-04-02,1610612737,1610612753,95.0,87.0,0,1
2004-04-04,1610612737,1610612751,89.0,106.0,0,0
2004-04-06,1610612737,1610612755,100.0,103.0,1,0
2004-04-09,1610612737,1610612741,116.0,101.0,0,1
2004-04-10,1610612737,1610612738,110.0,99.0,1,1
2004-04-12,1610612737,1610612751,129.0,107.0,1,1
2004-04-14,1610612737,1610612738,132.0,137.0,0,0
